                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2587,                 2.5644,                 1.2231,                0.36692,                0.37854,                0.26025,                0.14773,                 1.3489,                 2.5746,                 1.2803,              0.0033279,              0.0033279,              0.0033279
                      2,                  1.062,                 1.2533,                 1.0813,                0.46934,                0.39634,                0.32486,                0.21406,                 1.4107,                 2.3422,                 1.3885,              0.0065953,              0.0065953,              0.0065953
                      3,                 1.1337,                 1.1789,                 1.1278,                0.14327,                0.25707,                0.07483,                0.03593,                 2.0422,                 3.4227,                 1.9089,              0.0097967,              0.0097967,              0.0097967
                      4,                 1.1217,                 1.0936,                 1.1342,                 0.5011,                0.40249,                0.41529,                  0.267,                 1.6055,                 2.2164,                 1.5333,               0.009703,               0.009703,               0.009703
                      5,                0.99705,                0.86924,                 1.0723,                0.42338,                0.48461,                0.42509,                0.26333,                 1.5384,                 2.0905,                 1.4389,               0.009604,               0.009604,               0.009604
                      6,                0.92136,                0.75865,                 1.0393,                0.58075,                0.37738,                0.42857,                0.28231,                 1.5142,                 2.8485,                 1.4016,               0.009505,               0.009505,               0.009505
                      7,                0.87209,                0.68968,                 1.0161,                0.58503,                0.50854,                0.52598,                0.34605,                 1.4274,                 1.8169,                 1.4305,               0.009406,               0.009406,               0.009406
                      8,                0.83601,                0.64143,                0.99897,                0.57807,                0.46024,                0.48346,                0.31231,                 1.5375,                 2.2547,                 1.4027,               0.009307,               0.009307,               0.009307
                      9,                0.80329,                0.60263,                0.98641,                0.69964,                0.50171,                0.56532,                0.37427,                 1.4548,                 1.8931,                 1.4089,               0.009208,               0.009208,               0.009208
                     10,                0.78086,                0.57708,                0.97678,                0.67247,                0.39146,                 0.4706,                0.32436,                 1.5359,                 2.5558,                 1.4925,               0.009109,               0.009109,               0.009109
                     11,                0.76517,                 0.5596,                0.97055,                0.79134,                0.43732,                0.56564,                0.38201,                 1.5059,                 2.4126,                 1.4331,                0.00901,                0.00901,                0.00901
                     12,                0.74536,                0.53903,                0.96318,                0.63422,                0.47366,                0.52143,                 0.3516,                 1.4607,                 2.4038,                 1.3866,               0.008911,               0.008911,               0.008911
                     13,                0.73279,                0.52499,                0.95795,                0.75846,                0.45732,                0.54555,                0.38339,                 1.4885,                 2.1828,                 1.4508,               0.008812,               0.008812,               0.008812
                     14,                0.71878,                0.51245,                0.95128,                0.80576,                0.35918,                0.50226,                0.35665,                 1.4459,                 2.5361,                 1.4343,               0.008713,               0.008713,               0.008713
                     15,                0.70877,                0.49869,                0.94592,                0.69744,                0.44951,                0.53137,                0.36633,                 1.4443,                 2.2327,                 1.4177,               0.008614,               0.008614,               0.008614
                     16,                0.69567,                0.48925,                0.94351,                0.68733,                0.43965,                0.52108,                 0.3742,                 1.4875,                 2.4501,                 1.4486,               0.008515,               0.008515,               0.008515
                     17,                0.68567,                0.47833,                0.93745,                0.66222,                   0.44,                 0.5228,                0.37373,                 1.4771,                 2.6011,                 1.4179,               0.008416,               0.008416,               0.008416
                     18,                0.67623,                0.46897,                0.93488,                0.75813,                 0.3939,                0.51171,                0.36604,                 1.4855,                 2.7137,                 1.4503,               0.008317,               0.008317,               0.008317
                     19,                0.66833,                0.46511,                0.93212,                0.74948,                 0.4022,                0.53411,                0.38317,                 1.4174,                 2.5385,                 1.3972,               0.008218,               0.008218,               0.008218
                     20,                0.66132,                0.45598,                0.92765,                0.70786,                 0.4661,                0.56693,                0.40645,                 1.4594,                  2.563,                 1.4336,               0.008119,               0.008119,               0.008119
                     21,                 0.6542,                0.44972,                0.92724,                0.71433,                0.44634,                0.55095,                0.39766,                 1.4443,                 2.5633,                 1.3998,                0.00802,                0.00802,                0.00802
                     22,                0.64955,                0.44462,                0.92388,                 0.7309,                0.45073,                0.55667,                0.40657,                 1.4613,                  2.561,                 1.4154,               0.007921,               0.007921,               0.007921
                     23,                0.64051,                0.43743,                0.92234,                0.81117,                0.40805,                0.53971,                0.39324,                 1.4616,                 2.6136,                 1.4158,               0.007822,               0.007822,               0.007822
                     24,                0.63535,                0.43112,                0.91934,                0.84858,                0.39976,                0.55835,                0.40602,                 1.4723,                 2.5597,                 1.4236,               0.007723,               0.007723,               0.007723
                     25,                0.63184,                0.42926,                0.91901,                0.82396,                0.39415,                0.55262,                0.40302,                 1.4773,                 2.6183,                 1.4367,               0.007624,               0.007624,               0.007624
                     26,                0.62565,                 0.4234,                0.91601,                0.81719,                0.39796,                0.55702,                0.40594,                 1.4754,                  2.617,                 1.4351,               0.007525,               0.007525,               0.007525
                     27,                0.62371,                0.42001,                0.91468,                0.82954,                0.40118,                0.56582,                0.40986,                 1.4627,                 2.6141,                 1.4276,               0.007426,               0.007426,               0.007426
                     28,                0.62183,                0.41851,                0.91389,                0.81798,                0.39976,                0.56412,                0.40861,                 1.4635,                 2.6113,                 1.4309,               0.007327,               0.007327,               0.007327
                     29,                0.61254,                0.41213,                0.91219,                0.78567,                0.40681,                0.55849,                0.40535,                 1.4723,                 2.6258,                 1.4366,               0.007228,               0.007228,               0.007228
                     30,                0.61095,                0.40917,                0.91199,                0.78439,                0.40461,                0.55211,                0.40089,                 1.4734,                 2.6353,                 1.4369,               0.007129,               0.007129,               0.007129
                     31,                0.60074,                0.40131,                0.90793,                0.82506,                0.39244,                0.54654,                0.39622,                 1.4788,                 2.6491,                 1.4378,                0.00703,                0.00703,                0.00703
                     32,                0.60279,                0.40229,                0.90974,                0.83652,                0.39049,                0.54346,                0.39391,                  1.476,                 2.6576,                  1.434,               0.006931,               0.006931,               0.006931
                     33,                0.59385,                0.39712,                0.90609,                0.83387,                0.39421,                 0.5446,                0.39522,                 1.4734,                 2.6534,                 1.4315,               0.006832,               0.006832,               0.006832
                     34,                 0.5921,                0.39437,                0.90378,                0.83911,                0.39306,                0.54725,                0.39689,                 1.4721,                  2.653,                 1.4293,               0.006733,               0.006733,               0.006733
                     35,                0.58755,                0.38994,                0.90346,                0.84116,                0.39439,                0.54824,                0.39756,                 1.4692,                 2.6505,                 1.4243,               0.006634,               0.006634,               0.006634
                     36,                0.58118,                0.38451,                0.90076,                0.85218,                0.39341,                0.54957,                0.39845,                 1.4652,                 2.6572,                 1.4207,               0.006535,               0.006535,               0.006535
                     37,                0.58148,                0.38471,                0.89955,                0.85783,                0.39146,                0.55095,                0.39846,                  1.466,                 2.6619,                 1.4198,               0.006436,               0.006436,               0.006436
                     38,                0.57159,                0.38012,                0.89895,                0.82462,                0.39878,                0.55269,                0.39872,                 1.4669,                 2.6549,                 1.4211,               0.006337,               0.006337,               0.006337
                     39,                0.56886,                 0.3768,                0.89889,                0.73463,                0.42488,                0.55258,                0.39875,                 1.4676,                  2.662,                 1.4204,               0.006238,               0.006238,               0.006238
                     40,                0.56843,                0.37435,                0.89648,                 0.7352,                0.42341,                0.55308,                0.39966,                 1.4698,                 2.6683,                 1.4212,               0.006139,               0.006139,               0.006139
                     41,                0.56434,                0.37303,                0.89489,                0.73757,                0.42432,                0.55362,                0.39925,                 1.4736,                 2.6752,                 1.4235,                0.00604,                0.00604,                0.00604
                     42,                0.56073,                0.36867,                0.89412,                 0.8188,                0.40229,                0.55257,                0.39948,                 1.4764,                 2.6803,                 1.4251,               0.005941,               0.005941,               0.005941
                     43,                0.55441,                0.36527,                0.89211,                 0.7545,                0.41753,                0.55193,                0.39805,                 1.4781,                 2.6894,                 1.4267,               0.005842,               0.005842,               0.005842
                     44,                0.55315,                0.36339,                0.89273,                 0.8466,                0.39512,                0.55209,                0.39673,                 1.4822,                 2.7043,                 1.4273,               0.005743,               0.005743,               0.005743
                     45,                0.55536,                0.36349,                0.89362,                0.85521,                0.39366,                0.55231,                0.39627,                 1.4828,                 2.7121,                 1.4283,               0.005644,               0.005644,               0.005644
