frame,cls,conf,x,y,w,h
12.0,0.0,0.294368177652359,317.95208740234375,303.394287109375,320.32635498046875,101.4969482421875
13.0,0.0,0.2790968418121338,296.5599670410156,304.3194580078125,376.84149169921875,103.65582275390625
14.0,0.0,0.2756926715373993,305.7653503417969,304.382568359375,377.2000732421875,104.6546630859375
15.0,0.0,0.3295108675956726,306.4779968261719,304.29925537109375,390.32720947265625,105.5521240234375
16.0,0.0,0.49449750781059265,341.6619873046875,304.0056457519531,338.4761962890625,104.19854736328125
17.0,0.0,0.5240247845649719,346.1871337890625,304.6817321777344,346.0732421875,103.760986328125
18.0,0.0,0.6275864243507385,342.32501220703125,304.0785217285156,370.6649169921875,103.64129638671875
19.0,0.0,0.40399906039237976,339.64935302734375,304.15228271484375,396.361572265625,103.5750732421875
20.0,0.0,0.4018663465976715,353.0103759765625,304.5814208984375,383.7677001953125,103.8543701171875
21.0,0.0,0.7147866487503052,357.5525817871094,305.2349853515625,392.25396728515625,101.24896240234375
22.0,0.0,0.5940533876419067,372.24267578125,304.28582763671875,381.1943359375,103.3388671875
23.0,0.0,0.35722318291664124,370.73553466796875,304.1808776855469,407.6890869140625,105.636474609375
24.0,0.0,0.4629821181297302,358.14935302734375,303.49615478515625,449.147216796875,106.98291015625
25.0,0.0,0.369294673204422,351.96343994140625,304.6512756347656,476.43359375,107.22808837890625
26.0,0.0,0.7038705945014954,246.38055419921875,305.0459289550781,281.973876953125,102.5885009765625
27.0,0.0,0.5787768959999084,250.63648986816406,303.97808837890625,283.4274597167969,104.2353515625
28.0,0.0,0.6836488842964172,259.3161315917969,304.98541259765625,291.55291748046875,105.6134033203125
29.0,0.0,0.7181747555732727,263.3125915527344,304.2091979980469,288.88128662109375,105.19439697265625
30.0,0.0,0.6085214614868164,265.0799865722656,304.7412414550781,284.76055908203125,105.877197265625
31.0,0.0,0.792605996131897,268.777587890625,306.3890075683594,282.7891845703125,106.4156494140625
32.0,0.0,0.6870830059051514,275.94183349609375,304.9043884277344,285.0218505859375,106.96820068359375
33.0,0.0,0.43043866753578186,282.5537414550781,306.25567626953125,284.7281494140625,108.1234130859375
34.0,0.0,0.7598675489425659,294.0750732421875,305.54266357421875,293.588134765625,109.54791259765625
35.0,0.0,0.45529627799987793,298.879150390625,304.3627624511719,298.549560546875,109.62310791015625
36.0,0.0,0.5610645413398743,301.066162109375,307.59716796875,300.3194580078125,110.4453125
37.0,0.0,0.74387526512146,308.58245849609375,306.23870849609375,293.9918212890625,107.95458984375
