frame,cls,conf,x,y,w,h
10.0,0.0,0.39824897050857544,139.35865783691406,284.0179443359375,275.5855407714844,151.96412658691406
11.0,0.0,0.4798400104045868,146.22390747070312,285.07989501953125,289.057373046875,149.78509521484375
12.0,0.0,0.47792595624923706,146.0973663330078,285.1876220703125,288.7853088378906,149.58665466308594
13.0,0.0,0.7366770505905151,181.51483154296875,291.7892150878906,285.03985595703125,136.26629638671875
14.0,0.0,0.6367465257644653,196.53652954101562,282.3487548828125,297.51641845703125,155.302490234375
15.0,0.0,0.6015219688415527,184.33767700195312,285.33770751953125,351.77423095703125,149.32456970214844
16.0,0.0,0.8890109658241272,191.48599243164062,288.31304931640625,367.29827880859375,143.2313232421875
17.0,0.0,0.8888468742370605,191.48629760742188,288.2972412109375,367.29449462890625,143.24794006347656
18.0,0.0,0.8912845253944397,207.60504150390625,285.255615234375,365.0418701171875,147.76287841796875
19.0,0.0,0.8944388031959534,218.3882598876953,285.619384765625,371.7439880371094,146.50274658203125
20.0,0.0,0.8644824028015137,230.29989624023438,284.91534423828125,374.14398193359375,150.16932678222656
21.0,0.0,0.8693066239356995,272.64666748046875,280.177490234375,335.6439208984375,153.1151123046875
22.0,0.0,0.8697673082351685,272.65985107421875,280.179931640625,335.5875244140625,153.14479064941406
23.0,0.0,0.8724018335342407,284.4779052734375,276.6103820800781,333.0140380859375,152.04730224609375
24.0,0.0,0.8156276345252991,387.9578857421875,273.7046813964844,495.8670654296875,153.47149658203125
24.0,0.0,0.7975948452949524,299.5403137207031,273.5707702636719,333.54827880859375,151.33148193359375
25.0,0.0,0.859703004360199,398.7674865722656,265.9154357910156,479.46710205078125,149.86029052734375
26.0,0.0,0.8445802330970764,399.8381042480469,264.0545959472656,470.21783447265625,150.3743896484375
27.0,0.0,0.8435609340667725,399.62799072265625,264.024658203125,470.4710693359375,150.33154296875
28.0,0.0,0.8503804206848145,402.92889404296875,260.94757080078125,458.7264404296875,148.13499450683594
29.0,0.0,0.8520729541778564,412.013671875,256.4441833496094,447.013427734375,147.5164794921875
30.0,0.0,0.860198438167572,413.39984130859375,256.029296875,443.61669921875,148.26361083984375
31.0,0.0,0.8555719256401062,414.0408935546875,255.2020263671875,442.5751953125,148.88836669921875
32.0,0.0,0.8567851781845093,414.03619384765625,255.18063354492188,442.8238525390625,148.73895263671875
33.0,0.0,0.858381450176239,414.66326904296875,254.94906616210938,440.9969482421875,147.89013671875
34.0,0.0,0.8566298484802246,414.6048889160156,254.8924560546875,441.11627197265625,147.79624938964844
35.0,0.0,0.8502178192138672,414.41290283203125,254.623779296875,440.7833251953125,148.25938415527344
36.0,0.0,0.8566104769706726,414.46356201171875,254.86236572265625,440.52197265625,148.29676818847656
37.0,0.0,0.8571493029594421,414.3556213378906,254.8154296875,440.51995849609375,148.28102111816406
38.0,0.0,0.8652427196502686,414.60064697265625,254.90545654296875,440.7042236328125,148.71234130859375
39.0,0.0,0.8652652502059937,414.29461669921875,255.1553955078125,440.942626953125,149.20274353027344
40.0,0.0,0.867073655128479,414.2198181152344,255.33843994140625,441.32196044921875,149.69309997558594
41.0,0.0,0.8672366142272949,414.1545104980469,255.5711669921875,441.49224853515625,150.0849609375
42.0,0.0,0.8670991063117981,414.10186767578125,255.5496826171875,441.516357421875,150.02032470703125
43.0,0.0,0.8683584332466125,414.1641845703125,255.86334228515625,441.2841796875,150.33802795410156
44.0,0.0,0.8648144602775574,413.9922180175781,256.0579833984375,441.13909912109375,150.8433837890625
45.0,0.0,0.8647260665893555,414.00726318359375,256.0315246582031,441.22265625,150.8173828125
46.0,0.0,0.8678394556045532,414.12481689453125,256.0502014160156,441.2930908203125,150.84991455078125
47.0,0.0,0.8663867712020874,414.15570068359375,255.86102294921875,441.2703857421875,150.94017028808594
48.0,0.0,0.8678375482559204,414.0958557128906,255.82415771484375,441.05828857421875,151.10301208496094
49.0,0.0,0.8682584762573242,414.064453125,255.86349487304688,441.5914306640625,150.8204345703125
50.0,0.0,0.871825635433197,414.01629638671875,255.69174194335938,441.6285400390625,150.35302734375
51.0,0.0,0.8719913363456726,413.999267578125,255.81692504882812,441.6007080078125,150.2900390625
52.0,0.0,0.8723145723342896,413.9613037109375,255.7794189453125,441.3031005859375,150.03758239746094
53.0,0.0,0.8715648055076599,414.016845703125,255.80282592773438,441.40869140625,150.108642578125
54.0,0.0,0.8719492554664612,413.8309326171875,255.71673583984375,440.6739501953125,150.28526306152344
55.0,0.0,0.8710861802101135,413.952392578125,255.69061279296875,440.786376953125,150.24493408203125
56.0,0.0,0.8708864450454712,413.8743896484375,255.72589111328125,440.568603515625,150.14251708984375
57.0,0.0,0.8711839914321899,413.9034423828125,255.84451293945312,440.495361328125,150.27484130859375
58.0,0.0,0.8717623353004456,413.91583251953125,255.8597412109375,440.69384765625,150.18263244628906
59.0,0.0,0.8718594312667847,413.97607421875,255.81344604492188,440.668701171875,150.30072021484375
60.0,0.0,0.8724679946899414,413.9141845703125,255.89874267578125,440.634765625,150.2799072265625
