frame,cls,conf,x,y,w,h
38.0,0.0,0.27205032110214233,351.08984375,213.67855834960938,68.41909790039062,45.17921447753906
40.0,0.0,0.2688177824020386,351.281494140625,213.70956420898438,69.07861328125,45.09776306152344
42.0,0.0,0.2783408761024475,331.97344970703125,199.6732940673828,60.769500732421875,42.52996826171875
167.0,0.0,0.26061710715293884,173.52505493164062,272.73406982421875,85.20770263671875,58.73504638671875
175.0,0.0,0.5575764179229736,152.5393524169922,259.0004577636719,76.80963134765625,54.41143798828125
176.0,0.0,0.42561259865760803,152.49990844726562,258.9112854003906,77.25901794433594,54.67860412597656
271.0,0.0,0.30258846282958984,233.28321838378906,290.9803466796875,83.21682739257812,52.5146484375
271.0,0.0,0.28260669112205505,237.62783813476562,300.85626220703125,91.24110412597656,71.36074829101562
272.0,0.0,0.44980588555336,237.53012084960938,300.8004150390625,91.3692626953125,71.43447875976562
272.0,0.0,0.32104411721229553,232.03704833984375,290.6474304199219,80.93499755859375,51.916748046875
273.0,0.0,0.8291099667549133,227.52493286132812,294.2822265625,87.87281799316406,73.72357177734375
274.0,0.0,0.8325852751731873,227.48939514160156,294.2645263671875,87.68807983398438,73.7083740234375
275.0,0.0,0.8991210460662842,222.38296508789062,289.294189453125,87.26759338378906,72.89411926269531
276.0,0.0,0.8942176103591919,222.48080444335938,289.24139404296875,87.24406433105469,73.205078125
277.0,0.0,0.8671366572380066,217.861083984375,283.3843688964844,85.04533386230469,68.62275695800781
278.0,0.0,0.8751167058944702,217.86279296875,283.37298583984375,85.05474853515625,68.57527160644531
301.0,0.0,0.45399269461631775,159.57577514648438,235.33978271484375,113.55499267578125,96.73081970214844
302.0,0.0,0.49163874983787537,159.52838134765625,234.27914428710938,113.7208251953125,94.71965026855469
303.0,0.0,0.7282019853591919,155.9759063720703,230.8765869140625,126.2462158203125,79.6251220703125
304.0,0.0,0.7084531188011169,155.96865844726562,230.84866333007812,126.2651596069336,79.77867126464844
305.0,0.0,0.6725127696990967,154.93215942382812,231.8916015625,128.6007080078125,79.29072570800781
306.0,0.0,0.46843090653419495,154.98828125,231.81553649902344,128.53700256347656,79.39102172851562
307.0,0.0,0.658237099647522,153.68539428710938,233.23428344726562,131.80459594726562,78.3990478515625
308.0,0.0,0.6792272925376892,153.7362060546875,233.27230834960938,131.8391571044922,78.64271545410156
309.0,0.0,0.3839297592639923,151.00811767578125,235.04820251464844,137.10353088378906,74.55270385742188
310.0,0.0,0.32494616508483887,150.9281005859375,235.07318115234375,137.54461669921875,74.69964599609375
