frame,cls,conf,x,y,w,h
0.0,0.0,0.9069284796714783,335.79547119140625,315.150146484375,169.286376953125,133.1370849609375
1.0,0.0,0.9069833159446716,335.7987365722656,315.1513671875,169.2520751953125,133.146240234375
2.0,0.0,0.8780612945556641,355.74609375,335.62640380859375,179.17987060546875,141.7027587890625
3.0,0.0,0.8774873614311218,355.7620544433594,335.6258239746094,179.21929931640625,141.69830322265625
4.0,0.0,0.7800400257110596,371.7479248046875,349.9024353027344,187.1934814453125,150.73052978515625
4.0,0.0,0.2845655083656311,1232.7840576171875,470.7156066894531,94.431884765625,498.56878662109375
5.0,0.0,0.7805480360984802,371.73114013671875,349.9114074707031,187.16845703125,150.736083984375
5.0,0.0,0.2868151068687439,1232.7530517578125,470.72607421875,94.493896484375,498.5478515625
6.0,0.0,0.8399022817611694,378.28070068359375,357.6697998046875,190.7666015625,155.414794921875
7.0,0.0,0.8410418033599854,378.3570556640625,357.60382080078125,190.7774658203125,155.5390625
8.0,0.0,0.812931478023529,394.4891357421875,375.29833984375,198.7440185546875,159.2950439453125
9.0,0.0,0.8121525049209595,394.47991943359375,375.2655334472656,198.7755126953125,159.20941162109375
10.0,0.0,0.8125593066215515,394.4976806640625,375.27374267578125,198.79864501953125,159.2071533203125
11.0,0.0,0.5225837230682373,411.7481689453125,395.2052001953125,204.300048828125,170.6915283203125
12.0,0.0,0.4664202928543091,421.60015869140625,404.3001708984375,211.9127197265625,172.256591796875
13.0,0.0,0.4658409059047699,421.6279296875,404.28692626953125,211.96826171875,172.32421875
21.0,0.0,0.636277973651886,510.83514404296875,413.71710205078125,272.5235595703125,390.9857177734375
22.0,0.0,0.6412590742111206,510.78240966796875,413.54144287109375,272.48193359375,391.3797607421875
23.0,0.0,0.6505361795425415,524.5457763671875,422.4371032714844,280.9558410644531,410.52716064453125
24.0,0.0,0.6492302417755127,524.5858154296875,422.44940185546875,280.9559326171875,410.5010986328125
25.0,0.0,0.6416671276092529,524.6627197265625,422.94598388671875,280.9748229980469,409.4693603515625
26.0,0.0,0.6699795722961426,555.8421630859375,445.67742919921875,298.3583984375,439.0648193359375
27.0,0.0,0.7673497200012207,590.345947265625,460.3535461425781,315.585693359375,488.61151123046875
28.0,0.0,0.7063130736351013,607.2296142578125,471.2273864746094,328.2821960449219,487.69464111328125
29.0,0.0,0.7069717049598694,607.2445068359375,471.2568054199219,328.3341979980469,487.64385986328125
30.0,0.0,0.7096607089042664,607.241455078125,471.4516906738281,328.3658447265625,487.21795654296875
31.0,0.0,0.5110878944396973,647.3112182617188,480.54254150390625,356.9765625,476.631591796875
32.0,0.0,0.6103184819221497,664.6300659179688,479.5458984375,359.214599609375,477.96435546875
33.0,0.0,0.616836428642273,664.6192626953125,479.4794616699219,359.5260009765625,478.08148193359375
83.0,0.0,0.5618569850921631,231.3784637451172,212.49844360351562,116.06436157226562,100.22357177734375
